	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19
A14	921.3911389246205	923.0619306328199	921.9978097160788	921.9113461531659	921.5708162070551	922.024307393564	923.4201030197448	923.3446134006593	923.1486961980264	921.7342762194996	922.2031467001024	920.9510075647083	922.8090806804406	923.2298076840417	923.9569712962475	922.7034626746372	921.8361469815816	921.6098940104896	921.1460154042364	922.5757374526926
A15	917.8078788098785	917.8989354269548	924.6730230976106	927.0660405452386	924.2661433628025	924.5482329020876	928.4803956888394	923.2179184432274	924.0310384252359	914.1810441137327	914.2563873861474	920.3211514205359	918.4799129123788	923.1527855941957	922.4988828736534	908.7354422926953	934.2572798950077	923.2429285885615	908.9247729110714	902.6601907476753
A16	927.0319073045707	928.9728724200452	927.7454826573606	918.8670755882441	933.9992008440554	935.0662824915918	935.6218423982594	941.7429953248087	942.1051887512416	922.4910869069331	923.2981633493681	910.0163180549864	921.3855312492427	951.6777761655345	947.5449517706475	932.4883718140259	921.8814907621452	920.674024820458	929.1106772063991	942.1152331948548
A17	927.6773781040522	915.2792062170107	926.8578901970815	906.1163531983292	963.4518865980542	930.1083991126316	932.2369314496758	905.6082256219216	909.2139358098344	916.1000532570357	935.1505144787249	913.2840700627653	944.7616612174808	938.5087694303925	928.2823267094946	895.1637029341593	951.2045938833626	931.6319299581212	902.3445490977313	899.3820014484932
A18	918.1635538104856	923.3362319819014	911.02913396804	918.0370383783667	932.0280789348463	909.6991428490121	909.6621909412017	917.8155671343529	912.595501566155	932.555857180608	921.3442310040771	911.5356635918023	917.1752899166507	926.9726373567526	924.5161064944077	922.150189935662	922.4346561695313	912.7735844228437	923.393594021409	909.3774533378191
A19	1133.9189215767253	1141.4604980543186	1130.2294017279992	1120.949576083576	1130.7529562430375	1129.4831690236606	1129.1579000275208	1128.8886645947432	1116.7761672930317	1120.3759917620866	1129.0182970333394	1122.12208858948	1119.1067338259068	1143.486783503977	1131.4951040969956	1116.9186462806722	1135.027947953672	1135.4451197474798	1134.2198851069068	1132.6800811568564
A20	1111.9261409545852	1112.980385191477	1119.028708531946	1109.8303959146226	1112.3919084754884	1112.8849306104976	1108.919424536002	1113.696437224928	1113.276575707712	1111.8022999134025	1117.5249952006077	1112.2383183758636	1115.4615319193808	1109.1992873604015	1108.130422170717	1110.545520685635	1108.0611071379558	1114.834196980999	1109.6745984645966	1114.6019372224548
A21	1124.209491136831	1125.0877635471445	1121.0478805311402	1123.2215244009712	1124.0826178059308	1124.302572458167	1120.5310344286747	1126.1424753226909	1119.5359892324036	1122.3359762950208	1122.8980471883374	1119.4819997052562	1121.462695187133	1117.848229883409	1119.5535324269085	1125.4907701463144	1119.2429556988138	1118.0794135872636	1123.7432501942324	1118.2281380729082
A22	1130.8399660015536	1131.6410137287533	1119.6688601645417	1130.397361139053	1142.7141568696868	1125.9024215123345	1147.6561127171587	1135.1566518888478	1126.4056781312431	1115.2490923851642	1125.8048511905545	1126.3202598270757	1120.7495412630642	1128.1534102083476	1122.945891930733	1126.1170862498716	1134.7878704932323	1136.7943887712331	1133.3374765205092	1137.137811994953
A23	1102.8395100559699	1103.6771716913188	1111.4048653277368	1097.9893644521594	1145.9104487947238	1092.4285114964914	1087.5449998445224	1135.9324365686068	1109.3776407892349	1111.400477232276	1150.7909030242934	1115.7043599590866	1104.6403296851304	1098.5270758819956	1112.3383611008069	1072.9664963220312	1111.3449598005411	1113.6762182190992	1097.4404876492322	1115.290975110046
A24	1096.6929608625844	1096.7202897260754	1096.5876351622292	1096.3091803707282	1096.5703538547657	1096.9082877773155	1096.5539096348778	1096.6634210774828	1096.709737547304	1096.5808874146217	1096.7540479787272	1096.3633805603392	1096.6651545563943	1096.6909117357677	1096.7291748951486	1096.527858239848	1096.7624246213845	1096.77601183189	1096.772420348072	1096.9333613024075
A25	1123.1356476875592	1121.97664847613	1121.2496119378707	1127.2817960971242	1118.538213851718	1123.5961151768113	1113.7572680675469	1126.6528732389725	1120.1246906513038	1119.6037747010446	1129.5760153538954	1115.2164914631676	1125.0265560783378	1129.6783317568743	1130.1319490253686	1122.5722380331472	1129.988799589996	1118.7896644411117	1124.885672821627	1123.7865361937454
A26	1117.4979432290415	1121.8872204192035	1117.2264341580524	1118.4099917959609	1116.432162749974	1115.0406025917698	1120.2981232265738	1113.5315196442623	1106.1951241850686	1111.024503239879	1121.302447452821	1108.3781503533612	1108.4695544062918	1121.1874828273235	1113.0346076634169	1122.4543234172372	1124.3887009024745	1119.5306151205714	1117.6608937664	1125.0688675761742
A27	1105.8914899126576	1108.0640199045708	1097.122545719136	1102.8055541866638	1105.6793693233553	1123.5229200529118	1111.5605025821892	1121.0708090469766	1101.3787529541764	1112.2663105549748	1120.6129578459431	1111.9531153466655	1106.1184931280516	1101.814654084863	1111.6534527830775	1107.7304610178578	1097.7324779959222	1117.4391854202581	1105.3188682489729	1111.068626631835
A28	1127.3227921909593	1098.5871053253034	1114.8538896935625	1094.3062570586394	1117.977265349659	1120.4413338791662	1122.0996082435374	1106.3601603603322	1157.2126658645866	1081.434027313972	1140.4605079450546	1123.8473881190464	1106.7213744098735	1085.2260911907615	1106.172514521853	1095.0023859989494	1122.503574975346	1126.6804819328759	1124.72130122268	1118.5851856678341
A29	1075.653277278766	1039.413799381457	1040.3053086982752	1070.350737427938	1057.3438958555387	1031.2423501839037	1048.5579009728992	1045.7467825730644	1025.7190789056478	1042.8683548228903	1048.7742156675113	1099.701823991921	1013.7741124704311	1047.0078844168877	1026.3452189164545	1049.5458070176555	1054.1142127740095	1077.38380247346	1020.7839205587298	1048.4726504857908
A30	1077.3149068321786	1085.4716070195273	1075.841070593015	1087.5421972122642	1091.5731786367717	1075.2510095732375	1040.7232948523967	1082.459321081644	1073.0983198484555	1076.8292080663302	1050.5551599337236	1081.629606694407	1062.9764949325333	1022.8096534856413	1103.0882504102033	1047.112680284186	1083.195295314347	1094.736642414358	1086.2161727949224	1055.8653662236597
A31	1067.9374334671097	1074.9233718872151	1063.764951623881	1059.3655044606323	1067.4943372205432	1057.0629015953903	1053.0788801101596	1055.115134711546	1054.7811890220903	1058.6789608028728	1057.940768907926	1059.935591872814	1056.3400311623457	1057.773981803793	1054.6539215886855	1060.0605263176033	1053.4700161586231	1064.0195629102159	1063.5094698046082	1061.1062993365247
A32	1069.0226690093896	1075.1611303305694	1069.058761361905	1074.9271094334463	1071.985228875193	1070.065487572497	1069.5052245398554	1067.585061690269	1067.1978956097341	1070.8726065342737	1072.7842474795386	1080.4217271589991	1073.3063693161093	1070.195782142547	1072.20033222623	1074.3386638495197	1073.69231732051	1074.1220387294723	1066.2136733754678	1073.515496615071
A33	1051.6235585374777	1042.1862534332938	1035.1870586562402	1004.2335579844994	1043.1460324115517	1030.5151642333637	1040.4875345727678	1012.3666201590783	1041.53673774503	1024.2313015668456	1029.5322510171118	1008.6207029385749	1045.5697096878778	1040.5639481245933	986.3191400197294	1007.9657150336258	1027.8719666872548	1020.0974173293215	1035.2852423233837	1039.2663470720504
A34	1059.154579712824	1064.8437080873261	1067.5813406223554	1069.5346130469627	1059.5496200932835	1072.6400058411875	1064.6202530590876	1071.0085125643657	1077.8524669379424	1057.23385357205	1062.4100321342858	1068.346682978869	1071.9563685497653	1065.6973158529522	1069.874479645264	1059.3074551476268	1069.9947984636726	1062.5943493779018	1063.9790596898542	1063.9836224198048
A35	1060.2364169360562	1058.2949848770932	1059.4475355152467	1058.6404665487785	1058.991053698003	1060.4288060362371	1059.3316335614468	1059.8262547307481	1060.1877695799378	1058.6565838387683	1058.6535431080376	1059.131843675043	1059.1941934240308	1059.3827561567236	1060.321849209156	1059.3781592891094	1059.01948529581	1059.3861163094393	1059.6927279215474	1059.509248149352
A36	1065.78303221226	1061.5040959785613	1041.3372153872303	1041.5368666922416	1038.2526287154953	1070.164966085974	1050.7408047078648	1051.8583645671067	1023.3778265614254	1037.6016405306348	1045.5169765508779	1055.1989839502742	1070.8332890355323	1059.2905696664825	1046.282117347614	1031.381090975731	1075.4751173302066	1045.4001597961458	1046.3799923988802	1058.2755626916971
A37	1192.6994664656443	1194.727443794821	1196.2025072368872	1197.282239467585	1199.7643803121252	1199.2007895685929	1200.3633041468017	1197.0040701881458	1196.0174998033458	1194.6839869062076	1194.4682584341242	1196.2153003695698	1196.023592415926	1197.4121303266302	1192.701724139695	1194.8999335448887	1198.6659904093217	1194.888179869698	1197.0783164111137	1196.4641203135561
A38	1183.9271199863654	1189.453999465201	1193.5337331321286	1175.5662724404353	1203.9234543095545	1211.2519532239558	1153.9380807692298	1201.7441944556583	1201.4353485806737	1225.7643539899216	1199.3009177956833	1178.1237145733055	1230.9324859049566	1189.5366538999197	1190.7680310312282	1207.7298717136407	1199.2939067188615	1201.421530123529	1208.0601839776418	1226.5274536936129
A39	1189.258931855478	1187.7592494289331	1187.2541007851146	1185.1267723665305	1192.0649465380557	1175.5407381112827	1185.3200820938898	1183.3481257760047	1194.601054831215	1183.712877445693	1173.2915282878514	1187.5811252973508	1187.5400918656385	1184.3146281761226	1182.3847165901523	1179.2317557551582	1185.8970735837117	1189.3795992841149	1191.5576697147912	1187.9112986633666
A40	1224.991314841503	1193.7527962983875	1204.4238045730096	1189.615651899899	1189.4071426757082	1210.1360581440188	1208.6886141300608	1183.184564842089	1205.7518103368388	1193.0190194478484	1210.9480175979465	1195.740869772094	1199.4452341051726	1173.239636380882	1204.0122242284897	1190.1940315400298	1217.3903076017557	1190.4810011585769	1192.4776383123278	1215.4822408841228
A41	1193.7828210885073	1191.5345819408064	1194.8457652376364	1193.050605256362	1197.9163125120667	1199.471803120527	1196.5748364315207	1194.0910862164328	1195.5762954428371	1199.6087303428926	1197.1694176931114	1197.6911154098982	1198.1059468667743	1195.948805264649	1195.911273612502	1192.4650130282384	1194.2534200791738	1194.25478184765	1194.0530396588217	1195.7444430898888
A42	1174.1316921660493	1170.2138608199873	1174.5880841102971	1173.095713731896	1170.8951737588898	1180.4399177792095	1172.3812990989413	1174.7050635780643	1170.709482025999	1172.6892385774383	1175.750897194866	1177.4370678471766	1181.9868075675333	1183.4803683032972	1175.33383864186	1185.0365981384596	1178.6897953349355	1171.4363878456584	1174.4419769694678	1170.040502962038
A43	1188.396835735929	1183.746564799413	1181.5102054542936	1187.436140891566	1189.9037562310743	1187.7752650741318	1182.6836390427648	1183.985298193901	1183.2165757132805	1182.3620787729087	1185.0085654764814	1187.738316377225	1184.0258665238619	1182.0286166058065	1182.4852162018815	1192.5812890162767	1181.7838691032	1192.104829342505	1186.0500520760786	1181.0052301764438
A44	1015.9539027201779	1006.129342043118	1005.6601839189186	1020.877716066229	1024.7209614745889	1004.6524550099897	1016.3321611336573	1046.3913169525445	1005.3234183614147	1006.2254587890203	993.334341905542	978.9435211943171	995.1005965375892	997.3655443414868	984.3226178013709	996.9609146001328	981.1392697847303	985.8901230059708	979.6096472649793	973.5296524460318
A45	991.1886868855615	988.7974063890227	994.5428668461329	993.1878929322038	995.32550215766	989.5743269550126	986.5551587401139	989.9733829797146	988.1573461347965	995.5077172076672	979.123429472154	975.0701518244736	981.5595126657107	977.0691417215406	974.5785564862995	976.9033075588028	974.7852146524546	981.5943688607317	974.779425462505	980.9725272978243
A46	995.6084421886336	1007.3753489718562	995.6499032344137	1000.0160305111364	1001.1692086463854	1005.1624125959531	986.8098031766721	1003.9694335947931	996.2852600674142	991.5722053357345	986.7468810793729	988.6627632357953	987.4494558950081	976.5849217452567	992.7780053320366	965.6403908116523	984.524384586061	972.6118953038074	997.8871478348237	986.9333816581557
A47	1004.2971751337394	986.0943575795183	996.7043605638568	997.3337409799319	1002.2737991039996	994.8048047361485	1005.7047923800678	1018.3119974448027	990.3248512450045	996.4469216656347	989.7611837346016	992.5949980381031	990.6114598596462	967.493484753534	978.9296677843485	977.2290285283987	983.5737973929768	994.9717045471037	995.6669486341125	993.0350227688236
A48	1032.3266460042578	1035.744621320361	1045.217072633457	1025.2032395401682	992.4462463099183	996.430636926145	1016.0878074357562	1023.4971278247414	1031.5287630774933	1003.0052464480034	991.8660951282487	1003.7261199197272	980.6876892130064	990.8297798900376	977.8760187071667	974.2917190767116	1021.6394646855033	996.071050963428	973.3673594448976	1009.733477432324
A49	1000.2469792196823	1000.8822121924368	1001.2933826002002	999.1360364712751	997.9132259460062	1003.7076897232522	1003.7261863794442	1002.9434367453265	1002.1089569724145	1006.3748279924878	984.487569935182	982.9204292437154	988.1789892621509	983.2344999074047	996.3674925757743	986.8801048044007	987.5969179934771	993.0127513891922	988.0066808519414	984.3100422537057
A50	992.6134538359026	995.3998212805419	994.4112000819592	997.8895191408337	986.143768724823	987.1408721807884	988.6521352479281	994.4322061955786	991.4552740544865	999.0826672297658	976.1237323476078	976.0731203392764	974.4072660110609	971.3565758525201	976.6109828958381	980.7558633271341	976.8753379019728	978.4510010362341	977.6073904364281	976.9626864744548
A51	994.9834538044124	1004.454610643844	1003.8856991360191	1003.1759416581339	1005.4325922329912	992.6527549580175	995.5931137103044	995.8007504197012	989.2778708772611	1004.2792753280212	984.8409629035937	990.8894515220826	988.4182186782256	1000.402796095656	991.5623412590472	991.746757445971	983.2872921061997	992.1343498774471	983.1261373780608	988.396366528283
A52	839.4202613559468	820.8744185217414	826.3070253973174	810.4696641889328	839.9719747379813	821.5761157343527	835.8223390966394	827.9561262329303	833.0493637984389	816.4523946557943	832.9331940813662	832.1078568934629	833.3951459114502	838.3276232203403	827.7899984967462	816.2086640875665	836.0285228739051	817.2484137476376	813.9867449851876	839.8885812978812
A53	857.1144225537873	858.2531331315753	858.3271856926549	858.36961417744	858.9077155600182	858.5981393678985	858.7295161468038	857.8685122030994	859.2352125015325	858.1946532107523	858.9550872433972	859.7299115377685	857.1380090984585	857.4932088247598	858.9130021788767	857.2889075193225	859.618743938214	857.5913280038816	858.1754681934766	860.2319227619415
A54	834.7135436837342	839.5648825207738	835.7256799750766	837.9191993453651	836.8648757679312	840.151497626767	837.6514875622639	842.7772403518477	840.203643413376	835.0307547071498	840.3379069010805	843.120995344425	836.829356366822	838.0742574395314	839.8422637301978	841.2150460937919	839.778406397318	841.0207646812139	835.1846095713378	836.7916049271346
A55	835.4063431835905	835.864848773546	837.6695197041818	836.8390666684787	837.9586805388003	825.9795919121046	836.0613737585987	846.9753782864459	833.786922023538	837.1592274581062	836.545585242592	837.1176860720873	834.3714750594759	839.292576051096	837.5914519103495	836.096056989847	837.5122195877886	841.7054925265564	839.2324640836238	835.7528699750336
A56	833.0545655838932	845.544520048938	848.4416057532195	826.5681873894649	830.6116875214558	842.7842269419787	840.2492573563335	826.6637848284834	851.6694370566721	814.4343106864386	827.5258792703225	831.6499668982188	817.665579643888	824.2638550843508	838.1772344455469	846.8557643916528	827.5195598255984	841.3343778625873	843.962687493723	837.9601622978524
A57	834.0708762494261	841.9670869839817	845.8791542322158	833.2434076906026	838.9171838861157	827.1386022479328	810.5337209389343	838.469085456088	825.3906654314201	834.5605269600317	828.3308718682897	827.3096955109937	818.2800841945088	831.3147923473713	842.004685557525	824.3385290064243	823.585781388333	826.0654464803009	820.5367912854967	836.8236100104815
A58	855.8542556859551	864.2542421375337	859.1447908417178	866.8593241948124	863.2491609582175	856.4957324074204	850.4902833255853	870.6216467084455	861.2017924769845	867.9830390008632	848.7668460945656	868.2802824019851	858.5408375090948	864.9214428501235	863.6348370929401	873.2975605742186	876.3549068469298	861.1900265737207	855.719564030611	862.8540298294671
A59	871.3319761799311	874.064092265281	879.7055640395805	878.7794694080478	868.4880329575077	886.1834078765211	874.9013103677725	880.9931655281132	848.695481620043	858.3212087527367	872.2862970666922	879.0486071041327	871.1154426829404	880.2868979754244	903.5899596171	861.9097888151562	870.5231380900319	876.3941832915024	880.6745925445787	881.2379213662048
A60	847.173645541477	854.9078518506078	851.5208729450013	849.7368685732857	854.0426042827681	852.6630165081915	850.6852965846269	850.1923280225972	861.1148433428788	855.8021557178649	852.9570565284738	855.0909056850412	855.2539740977937	853.1730109547918	859.3252991632664	852.9529767416271	855.3734375217699	852.9830466649978	860.1658412042211	849.2100629984985
A61	862.439481957869	856.7288462858353	854.2181806947426	868.2383159330292	852.6242521860287	861.3793483542788	857.4997593679926	862.8894475934493	862.1327905060438	856.2485239999123	855.3956199586296	859.2107906803195	853.7792234053727	863.6282358742191	858.1856734881676	864.2923682553004	866.7484194157299	855.6051002026685	875.7185006098666	862.5311885283468
A62	873.3027859161017	874.7192010192954	884.7551110870469	878.8171193283079	877.2817353617617	879.9298630110075	880.1380592274179	871.919722042541	861.4963495086934	875.6621700128801	868.0849223854119	870.2706721672735	869.8043414276426	869.4102950524875	887.1596607966685	873.9359705230002	870.9198129362125	882.3903380075387	903.8822449960692	888.601622025264
A63	860.3002582658222	868.1878406340873	849.8669388207828	869.3062268823222	866.4505156379739	857.2211071840703	867.6273391789686	861.9684742019808	864.8352498200284	867.416707483376	862.0155099700648	859.076481845045	876.0882742379708	867.316823352964	875.4704539144608	873.934397661214	866.2244202281315	860.3689727080492	854.9787628449305	861.5357697437247
A64	853.6399513323818	860.0883154753548	863.8092726295502	870.480229749822	856.7946025439354	851.71771213821	864.517603193869	865.5620944976728	857.947285849577	853.7082065141857	850.8444665193904	857.6295430101395	854.4357943250515	855.8222205049331	846.5203110501775	865.871083109654	860.4321801884815	875.0041510665349	860.9203944821694	855.706873724319
A65	859.2132447317392	880.5737508667777	865.5832885483824	866.4835035839786	882.5719204735904	896.2140017340711	857.9878403267844	862.9066545732599	847.5786362376263	895.5712958167774	889.8798240088747	867.1438405729406	884.3404796205373	876.5796390506155	861.5856137112394	872.6909893393318	869.7057826949168	872.0776128495639	845.3931532707902	876.673642392716
A66	867.81593970859	872.5849025379885	866.706823997336	887.0526629707	851.7774110730023	844.6137782212197	912.5860072259702	898.6511421655905	887.0390123489494	879.7778274919008	888.8251436562401	824.3613977892313	857.3772717169344	863.6820136410682	878.2474992297623	859.9079148538793	835.8018558854959	946.5176612369642	883.8097275763434	857.2513759146653
A67	1066.0079148974664	1070.8849294435338	1071.8400319877758	1089.7837438439603	1076.7292947691672	1076.618529402846	1069.805110018648	1073.1707340337186	1060.1855772231625	1077.102333812909	1085.4812146027818	1074.0583666057692	1085.724046491947	1096.0398358976204	1073.6626175487447	1062.359535869573	1075.2580029404958	1068.2141488869584	1051.0871243584868	1062.6055237185485
A68	1083.135282943176	1077.690348152928	1062.519573591457	1093.4095847888889	1084.5338707026829	1080.1164295455721	1062.9416928101414	1092.1832438981562	1070.6027751073082	1079.6386465978737	1077.6635532567484	1070.667634150331	1066.155652163161	1079.6147348612462	1095.254982943721	1091.1436375569504	1083.4170714839806	1090.812947758678	1088.168953348184	1078.2814593982546
A69	1068.0722950512502	1090.7054841173303	1075.6104666806325	1072.0578838633814	1071.2680976734614	1067.1099177384642	1034.435875759361	1055.8744644099686	1092.494752848007	1068.9123945237525	1047.5574129286113	1043.2113247528976	1069.7944765426619	1069.0555613889176	1067.7970555803977	1059.213131911326	1059.6969192794716	1050.689103131122	1067.2401399323126	1081.0970885277673
A70	1066.6283312852001	1063.6951976625114	1058.0702477573302	1058.149186729734	1056.325699888372	1060.6056743910199	1065.0072379735411	1060.1109533068802	1068.6938681856975	1059.7560079987716	1063.9292522483565	1062.445660120105	1051.262766795091	1064.3500847016896	1065.6627869365207	1056.4289851938663	1067.0637408262078	1061.2141692831683	1069.978835516166	1062.4889566824972
A71	1083.3829545094577	1084.1526126849096	1081.788823697386	1082.0797671618404	1082.738941914325	1081.7601198354773	1082.147094508359	1085.0478693463872	1079.9505397708754	1080.4021875904439	1081.32659842971	1082.0253027879548	1082.7225555409364	1080.5057111162969	1078.8199170152704	1081.0142754061853	1085.836438456851	1079.9166863366734	1083.3971464696544	1083.0444337448776
A72	1076.3880982224816	1075.2405316124411	1075.8331159576346	1072.915284345637	1078.3099346361728	1072.7458057652452	1077.316930294721	1074.9962061872643	1074.1810025573575	1073.0156532867861	1073.6007493110499	1074.5502935879576	1074.3438718180075	1075.1070665452946	1074.8842701248827	1075.7188446622151	1074.1999009759024	1076.4550231929186	1079.1118091822018	1077.3666410427927
A73	1083.9233426934904	1083.668624033135	1083.8759934737432	1083.982092670656	1083.8764851428941	1083.9350270196353	1084.1041050804765	1083.6781175566994	1083.7535144228711	1083.717919581953	1084.0904147175938	1083.6994754119796	1083.8165341686301	1083.7686956932025	1084.024688906626	1083.9857385393445	1083.6727505308245	1084.0625039239126	1083.956235307692	1084.1841922810959
A74	1064.0018857814573	1071.5357406236155	1065.0622690453627	1065.4207022777382	1071.1086131414797	1062.7728497036792	1068.901045614747	1068.551979978215	1074.928692077818	1069.6479084895518	1069.4452440977896	1069.387029064271	1069.7935685036593	1066.9846038514802	1064.1323359673145	1070.6630019330346	1067.5876722366163	1065.9385105804893	1064.971492384982	1064.3733243771467
A75	1070.407641808462	1071.102486735355	1070.972857216938	1070.1098552449557	1070.2805167072722	1071.5481276615797	1069.1776943660484	1070.355361123446	1070.2202951812776	1071.4211638812494	1070.5254953757144	1071.0144961382762	1069.7571857262778	1071.0940282810243	1070.200049576231	1071.0177896566422	1070.8213634519732	1070.893171049478	1070.8647851154078	1070.018959205489
A76	1060.3543241467019	1051.4054708122806	1062.0486252425821	1064.8632733354848	1057.2762346893912	1060.5190408423803	1059.7490226989548	1058.8065110257494	1053.3678942534355	1054.3022631432395	1063.0267206065082	1050.7613800222193	1057.277242777861	1055.7798778365664	1066.3661956484304	1063.232989020303	1054.501422532162	1054.1914128022938	1061.303202306923	1055.3839973360539
A77	1091.7728631942266	1083.1506507383465	1082.6522034343952	1084.5215172849655	1084.7277786373022	1090.261658903067	1090.2276222592243	1088.6152831906409	1081.952410911916	1079.6215897164846	1089.189760467602	1086.588326011381	1082.8122563684221	1082.5154275852328	1082.5228073344338	1087.7553216306683	1086.1902500865742	1090.4136020874112	1083.4786416644663	1088.104222913302
A78	1069.564339072675	1069.7018954484015	1069.5805149029575	1069.7243310779807	1069.899092957669	1069.750630004544	1069.6369399745538	1069.6840509010212	1069.5686713088796	1069.9501613398884	1069.6405294963295	1069.5592462934974	1069.69027056557	1069.705726355497	1069.5558967460554	1069.4112961754054	1069.6499830122361	1069.7742339382871	1069.5970081136527	1069.7850321477536
A79	1071.6237801683292	1069.5619237122335	1080.0040629904047	1070.7411367833236	1071.8036988643908	1086.8992695225027	1073.8581498571045	1074.2539507483302	1072.3812282606955	1075.7611951964352	1066.2928869585667	1067.5525407665295	1073.6544097389694	1085.3795513530938	1076.625254477307	1071.5028963573334	1064.3480634184643	1083.15196197539	1082.3052246365846	1069.072569966982
A80	1066.3149773892906	1068.536093756745	1048.9546473806865	1071.10019041894	1064.5487705003109	1064.2086964164896	1060.1453509100286	1069.4015325205019	1084.0252615355184	1072.8223954615073	1079.3583097441754	1059.7599170627066	1068.329314193968	1062.3370924362898	1071.77778479535	1062.4739559733675	1073.8728224373654	1066.4560051777107	1073.2975170607428	1067.311135916978
